module,type,name,res_id,src,value,comments
fleet,model,"fleet.vehicle.state,name",fleet.fleet_vehicle_state_downgraded,Downgraded,Degradado,
fleet,model,"fleet.vehicle.state,name",fleet.fleet_vehicle_state_new_request,New Request,Nueva solicitud,
fleet,model,"fleet.vehicle.state,name",fleet.fleet_vehicle_state_registered,Registered,Registrado,
fleet,model,"fleet.vehicle.state,name",fleet.fleet_vehicle_state_to_order,To Order,Por ordenar,
fleet,model,"ir.actions.act_window,name",fleet.fleet_config_settings_action,Settings,Ajustes,
fleet,model,"ir.actions.act_window,name",fleet.fleet_costs_reporting_action,Costs Analysis,Análisis de costos,
fleet,model_terms,"ir.actions.act_window,help",fleet.fleet_costs_reporting_action,No data for analysis,No hay datos para el análisis,
fleet,model_terms,"ir.actions.act_window,help",fleet.fleet_costs_reporting_action,Manage efficiently your different effective vehicles Costs with Odoo.,Gestione de forma eficiente los diferentes costos efectivos de sus diferentes vehículos con Odoo.,
fleet,model,"ir.actions.act_window,name",fleet.fleet_vehicle_action,Vehicles,Vehículos,
fleet,model_terms,"ir.actions.act_window,help",fleet.fleet_vehicle_action,Ready to manage your fleet more efficiently ?,¿Listo para gestionar su flota de forma más eficiente?,
fleet,model_terms,"ir.actions.act_window,help",fleet.fleet_vehicle_action,Let's create your first vehicle.,Vamos a crear su primer vehículo.,
fleet,model,"ir.actions.act_window,name",fleet.fleet_vehicle_log_contract_action,Contracts,Contratos,
fleet,model_terms,"ir.actions.act_window,help",fleet.fleet_vehicle_log_contract_action,Create a new contract,Crear un nuevo contrato,
fleet,model_terms,"ir.actions.act_window,help",fleet.fleet_vehicle_log_contract_action,"Manage all your contracts (leasing, insurances, etc.) with
            their related services, costs. Odoo will automatically warn
            you when some contracts have to be renewed.","Gestione todos sus contratos (leasing, seguros, etc) con
            sus servicios y costos relacionados. Odoo le advertirá automáticamente
            cuando se tengan que renovar algunos contratos.",
fleet,model_terms,"ir.actions.act_window,help",fleet.fleet_vehicle_log_contract_action,"Each contract (e.g.: leasing) may include several services
            (reparation, insurances, periodic maintenance).","Cada contrato (por ejemplo, leasing) puede incluir varios servicios
            (reparación, seguros, mantenimiento periódico).",
fleet,model,"ir.actions.act_window,name",fleet.fleet_vehicle_log_services_action,Services,Servicios,
fleet,model_terms,"ir.actions.act_window,help",fleet.fleet_vehicle_log_services_action,Create a new service entry,Crear una nueva entrada de servicio,
fleet,model_terms,"ir.actions.act_window,help",fleet.fleet_vehicle_log_services_action,"Track all the services done on your vehicle.
            Services can be of many types: occasional repair, fixed maintenance, etc.","Lleve el seguimiento de todos los servicios realizados a su vehículo.
            Los servicios pueden ser de muchos tipos: reparaciones ocasionales, mantenimiento fijo, etc.",
fleet,model,"ir.actions.act_window,name",fleet.fleet_vehicle_model_action,Models,Modelos,
fleet,model_terms,"ir.actions.act_window,help",fleet.fleet_vehicle_model_action,Create a new model,Crear un nuevo modelo,
fleet,model_terms,"ir.actions.act_window,help",fleet.fleet_vehicle_model_action,"You can define several models (e.g. A3, A4) for each make (Audi).","Se pueden definir varios modelos (por ejemplo, A3 , A4) para cada marca (Audi) .",
fleet,model,"ir.actions.act_window,name",fleet.fleet_vehicle_model_brand_action,Manufacturers,Fabricantes,
fleet,model_terms,"ir.actions.act_window,help",fleet.fleet_vehicle_model_brand_action,Create a new manufacturer,Crear un nuevo fabricante,
fleet,model,"ir.actions.act_window,name",fleet.fleet_vehicle_model_category_action,Categories,Categorías,
fleet,model_terms,"ir.actions.act_window,help",fleet.fleet_vehicle_model_category_action,Create a new category,Crear una nueva categoría,
fleet,model,"ir.actions.act_window,name",fleet.fleet_vehicle_odometer_action,Odometers,Odómetros,
fleet,model_terms,"ir.actions.act_window,help",fleet.fleet_vehicle_odometer_action,Create a new odometer log,Crear un nuevo registro del odómetro,
fleet,model_terms,"ir.actions.act_window,help",fleet.fleet_vehicle_odometer_action,You can add various odometer entries for all vehicles.,Puede agregar varias entradas de odómetro para todos los vehículos.,
fleet,model,"ir.actions.act_window,name",fleet.fleet_vehicle_service_types_action,Types,Tipos,
fleet,model_terms,"ir.actions.act_window,help",fleet.fleet_vehicle_service_types_action,Create a new type of service,Crear un nuevo tipo de servicio.,
fleet,model_terms,"ir.actions.act_window,help",fleet.fleet_vehicle_service_types_action,"Each service can used in contracts, as a standalone service or both.","Cada servicio se puede utilizar en los contratos, como un servicio independiente o ambos.",
fleet,model,"ir.actions.act_window,name",fleet.fleet_vehicle_state_action,Status,Estado,
fleet,model_terms,"ir.actions.act_window,help",fleet.fleet_vehicle_state_action,Create a new vehicle status,Crear un nuevo estado de vehículo,
fleet,model_terms,"ir.actions.act_window,help",fleet.fleet_vehicle_state_action,"You can customize available status to track the evolution of
            each vehicle. Example: active, being repaired, sold.","Puede personalizar el estado disponible para seguir la evolución de
            cada vehículo. Ejemplo: activo, en reparación, vendido.",
fleet,model,"ir.actions.act_window,name",fleet.fleet_vehicle_tag_action,Tags,Etiquetas,
fleet,model_terms,"ir.actions.act_window,help",fleet.fleet_vehicle_tag_action,Add a new tag,Agregar nueva etiqueta,
fleet,model,"ir.actions.act_window,name",fleet.mail_activity_type_action_config_fleet,Activity Types,Tipos de actividad,
fleet,model,"ir.actions.server,name",fleet.ir_cron_contract_costs_generator_ir_actions_server,Fleet: Generate contracts costs based on costs frequency,Flota: genere costos de contratos basados en la frecuencia de los costos,
fleet,model,"ir.cron,cron_name",fleet.ir_cron_contract_costs_generator,Fleet: Generate contracts costs based on costs frequency,Flota: genere costos de contratos basados en la frecuencia de los costos,
fleet,model,"ir.model,name",fleet.model_fleet_service_type,Fleet Service Type,Tipo de servicio de flota,
fleet,model,"ir.model,name",fleet.model_fleet_vehicle,Vehicle,Vehículo,
fleet,model,"ir.model,name",fleet.model_fleet_vehicle_assignation_log,Drivers history on a vehicle,Historial de conductores en un vehículo ,
fleet,model,"ir.model,name",fleet.model_fleet_vehicle_cost_report,Fleet Analysis Report,Reporte de análisis de flota,
fleet,model,"ir.model,name",fleet.model_fleet_vehicle_log_contract,Vehicle Contract,Contrato del vehículo,
fleet,model,"ir.model,name",fleet.model_fleet_vehicle_log_services,Services for vehicles,Servicios para los vehículos,
fleet,model,"ir.model,name",fleet.model_fleet_vehicle_model,Model of a vehicle,Modelo de un vehículo,
fleet,model,"ir.model,name",fleet.model_fleet_vehicle_model_brand,Brand of the vehicle,Marca del vehículo,
fleet,model,"ir.model,name",fleet.model_fleet_vehicle_model_category,Category of the model,Categoría del modelo,
fleet,model,"ir.model,name",fleet.model_fleet_vehicle_odometer,Odometer log for a vehicle,Registro del odómetro para un vehículo,
fleet,model,"ir.model,name",fleet.model_fleet_vehicle_state,Vehicle Status,Estado del vehículo,
fleet,model,"ir.model,name",fleet.model_fleet_vehicle_tag,Vehicle Tag,Etiqueta de vehículo,
fleet,model,"ir.model,name",fleet.model_res_config_settings,Config Settings,Ajustes de configuración,
fleet,model,"ir.model,name",fleet.model_res_partner,Contact,Contacto,
fleet,model,"ir.model.constraint,message",fleet.constraint_fleet_vehicle_model_category_name_uniq,Category name must be unique,El nombre de la categoría debe ser único,
fleet,model,"ir.model.constraint,message",fleet.constraint_fleet_vehicle_state_fleet_state_name_unique,State name already exists,El nombre de estado ya existe,
fleet,model,"ir.model.constraint,message",fleet.constraint_fleet_vehicle_tag_name_uniq,Tag name already exists !,¡Este nombre de etiqueta ya existe!,
fleet,model,"ir.model.fields,field_description",fleet.field_fleet_service_type____last_update,Last Modified on,Última modificación el,
fleet,model,"ir.model.fields,field_description",fleet.field_fleet_service_type__category,Category,Categoría,
fleet,model,"ir.model.fields,help",fleet.field_fleet_service_type__category,"Choose whether the service refer to contracts, vehicle services or both","Elija si el servicio se refiere a contratos, servicios de vehículos o ambos",
fleet,model,"ir.model.fields,field_description",fleet.field_fleet_service_type__create_date,Created on,Creado el,
fleet,model,"ir.model.fields,field_description",fleet.field_fleet_service_type__create_uid,Created by,Creado por,
fleet,model,"ir.model.fields,field_description",fleet.field_fleet_service_type__display_name,Display Name,Nombre en pantalla,
fleet,model,"ir.model.fields,field_description",fleet.field_fleet_service_type__id,ID,,
fleet,model,"ir.model.fields,field_description",fleet.field_fleet_service_type__name,Name,Nombre,
fleet,model,"ir.model.fields,field_description",fleet.field_fleet_service_type__write_date,Last Updated on,Última actualización el,
fleet,model,"ir.model.fields,field_description",fleet.field_fleet_service_type__write_uid,Last Updated by,Última actualización por,
fleet,model,"ir.model.fields,field_description",fleet.field_fleet_vehicle____last_update,Last Modified on,Última modificación el,
fleet,model,"ir.model.fields,field_description",fleet.field_fleet_vehicle__acquisition_date,Immatriculation Date,Fecha de registro,
fleet,model,"ir.model.fields,help",fleet.field_fleet_vehicle__acquisition_date,Date when the vehicle has been immatriculated,Fecha en la que se registró el vehículo,
fleet,model,"ir.model.fields,field_description",fleet.field_fleet_vehicle__active,Active,Activo,
fleet,model,"ir.model.fields,field_description",fleet.field_fleet_vehicle__activity_calendar_event_id,Next Activity Calendar Event,Siguiente evento en el calendario de actividades.,
fleet,model,"ir.model.fields,field_description",fleet.field_fleet_vehicle__activity_date_deadline,Next Activity Deadline,Fecha límite de la siguiente actividad,
fleet,model,"ir.model.fields,field_description",fleet.field_fleet_vehicle__activity_exception_decoration,Activity Exception Decoration,Decoración de actividad de excepción,
fleet,model,"ir.model.fields,help",fleet.field_fleet_vehicle__activity_exception_decoration,Type of the exception activity on record.,Tipo de actividad de excepción registrada.,
fleet,model,"ir.model.fields,field_description",fleet.field_fleet_vehicle__activity_exception_icon,Icon,Icono,
fleet,model,"ir.model.fields,help",fleet.field_fleet_vehicle__activity_exception_icon,Icon to indicate an exception activity.,Icono para indicar una actividad de excepción.,
fleet,model,"ir.model.fields,field_description",fleet.field_fleet_vehicle__activity_ids,Activities,Actividades,
fleet,model,"ir.model.fields,field_description",fleet.field_fleet_vehicle__activity_state,Activity State,Estado de la actividad,
fleet,model,"ir.model.fields,help",fleet.field_fleet_vehicle__activity_state,"Status based on activities
Overdue: Due date is already passed
Today: Activity date is today
Planned: Future activities.","Estado basado en actividades
Vencida: la fecha límite ya pasó
Hoy: la fecha límite es hoy
Planeada: futuras actividades.",
fleet,model,"ir.model.fields,field_description",fleet.field_fleet_vehicle__activity_summary,Next Activity Summary,Resumen de la siguiente actividad,
fleet,model,"ir.model.fields,field_description",fleet.field_fleet_vehicle__activity_type_icon,Activity Type Icon,Icono de tipo de actividad,
fleet,model,"ir.model.fields,help",fleet.field_fleet_vehicle__activity_type_icon,Font awesome icon e.g. fa-tasks,Icono de Font Awesome ej. fa-tasks,
fleet,model,"ir.model.fields,field_description",fleet.field_fleet_vehicle__activity_type_id,Next Activity Type,Tipo de la siguiente actividad,
fleet,model,"ir.model.fields,field_description",fleet.field_fleet_vehicle__activity_user_id,Responsible User,Usuario responsable,
fleet,model,"ir.model.fields,field_description",fleet.field_fleet_vehicle__brand_id,Brand,Marca,
fleet,model,"ir.model.fields,field_description",fleet.field_fleet_vehicle__car_value,Catalog Value (VAT Incl.),Valor de catálogo (IVA incluido),
fleet,model,"ir.model.fields,field_description",fleet.field_fleet_vehicle__category_id,Category,Categoría,
fleet,model,"ir.model.fields,field_description",fleet.field_fleet_vehicle__co2,CO2 Emissions,Emisiones de CO2,
fleet,model,"ir.model.fields,help",fleet.field_fleet_vehicle__co2,CO2 emissions of the vehicle,Emisiones de CO2 del vehículo,
fleet,model,"ir.model.fields,field_description",fleet.field_fleet_vehicle__co2_standard,Co2 Standard,Estándar de CO2,
fleet,model,"ir.model.fields,field_description",fleet.field_fleet_vehicle__color,Color,,
fleet,model,"ir.model.fields,help",fleet.field_fleet_vehicle__color,Color of the vehicle,Color del vehículo,
fleet,model,"ir.model.fields,field_description",fleet.field_fleet_vehicle__company_id,Company,Empresa,
fleet,model,"ir.model.fields,field_description",fleet.field_fleet_vehicle__contract_count,Contract Count,Número de contratos,
fleet,model,"ir.model.fields,field_description",fleet.field_fleet_vehicle__contract_renewal_due_soon,Has Contracts to renew,Tiene contratos por renovar,
fleet,model,"ir.model.fields,field_description",fleet.field_fleet_vehicle__contract_renewal_name,Name of contract to renew soon,Nombre del contrato a renovar pronto,
fleet,model,"ir.model.fields,field_description",fleet.field_fleet_vehicle__contract_renewal_overdue,Has Contracts Overdue,Tiene contratos vencidos,
fleet,model,"ir.model.fields,field_description",fleet.field_fleet_vehicle__contract_renewal_total,Total of contracts due or overdue minus one,Total de contratos vencidos o casi vencidos,
fleet,model,"ir.model.fields,field_description",fleet.field_fleet_vehicle__contract_state,Last Contract State,Estado del último contrato,
fleet,model,"ir.model.fields,field_description",fleet.field_fleet_vehicle__country_code,Country Code,Código de país,
fleet,model,"ir.model.fields,help",fleet.field_fleet_vehicle__country_code,"The ISO country code in two chars. 
You can use this field for quick search.","El código ISO del país en dos caracteres.
Puede utilizar este campo para una búsqueda rápida.",
fleet,model,"ir.model.fields,field_description",fleet.field_fleet_vehicle__country_id,Country,País,
fleet,model,"ir.model.fields,field_description",fleet.field_fleet_vehicle__create_date,Created on,Creado el,
fleet,model,"ir.model.fields,field_description",fleet.field_fleet_vehicle__create_uid,Created by,Creado por,
fleet,model,"ir.model.fields,field_description",fleet.field_fleet_vehicle__currency_id,Currency,Divisa,
fleet,model,"ir.model.fields,field_description",fleet.field_fleet_vehicle__description,Vehicle Description,Descripción del vehículo,
fleet,model,"ir.model.fields,field_description",fleet.field_fleet_vehicle__display_name,Display Name,Nombre en pantalla,
fleet,model,"ir.model.fields,field_description",fleet.field_fleet_vehicle__doors,Doors Number,Número de puertas,
fleet,model,"ir.model.fields,help",fleet.field_fleet_vehicle__doors,Number of doors of the vehicle,Número de puertas del vehículo,
fleet,model,"ir.model.fields,field_description",fleet.field_fleet_vehicle__driver_id,Driver,Conductor,
fleet,model,"ir.model.fields,help",fleet.field_fleet_vehicle__driver_id,Driver address of the vehicle,Dirección del conductor del vehículo,
fleet,model,"ir.model.fields,field_description",fleet.field_fleet_vehicle__electric_assistance,Electric Assistance,Asistencia eléctrica,
fleet,model,"ir.model.fields,field_description",fleet.field_fleet_vehicle__first_contract_date,First Contract Date,Primera fecha de contrato,
fleet,model,"ir.model.fields,field_description",fleet.field_fleet_vehicle__frame_size,Frame Size,Tamaño del cuadro,
fleet,model,"ir.model.fields,field_description",fleet.field_fleet_vehicle__frame_type,Bike Frame Type,Tipo de cuadro de bicicleta,
fleet,model,"ir.model.fields,field_description",fleet.field_fleet_vehicle__fuel_type,Fuel Type,Tipo de combustible,
fleet,model,"ir.model.fields,field_description",fleet.field_fleet_vehicle__future_driver_id,Future Driver,Futuro conductor,
fleet,model,"ir.model.fields,help",fleet.field_fleet_vehicle__future_driver_id,Next Driver Address of the vehicle,Dirección del próximo conductor del vehículo,
fleet,model,"ir.model.fields,field_description",fleet.field_fleet_vehicle__has_message,Has Message,Tiene un mensaje,
fleet,model,"ir.model.fields,field_description",fleet.field_fleet_vehicle__history_count,Drivers History Count,Número de conductores en el historial,
fleet,model,"ir.model.fields,field_description",fleet.field_fleet_vehicle__horsepower,Horsepower,Caballos de fuerza,
fleet,model,"ir.model.fields,field_description",fleet.field_fleet_vehicle__horsepower_tax,Horsepower Taxation,Impuestos sobre caballos de fuerza,
fleet,model,"ir.model.fields,field_description",fleet.field_fleet_vehicle__id,ID,,
fleet,model,"ir.model.fields,field_description",fleet.field_fleet_vehicle__image_128,Logo,,
fleet,model,"ir.model.fields,field_description",fleet.field_fleet_vehicle__license_plate,License Plate,Matrícula,
fleet,model,"ir.model.fields,help",fleet.field_fleet_vehicle__license_plate,License plate number of the vehicle (i = plate number for a car),"Número de matrícula del vehículo (es decir, número de placa para un vehículo)",
fleet,model,"ir.model.fields,field_description",fleet.field_fleet_vehicle__location,Location,Ubicación,
fleet,model,"ir.model.fields,help",fleet.field_fleet_vehicle__location,"Location of the vehicle (garage, ...)","Ubicación del vehículo (garaje, ...)",
fleet,model,"ir.model.fields,field_description",fleet.field_fleet_vehicle__log_contracts,Contracts,Contratos,
fleet,model,"ir.model.fields,field_description",fleet.field_fleet_vehicle__log_drivers,Assignment Logs,Registros de asignación,
fleet,model,"ir.model.fields,field_description",fleet.field_fleet_vehicle__log_services,Services Logs,Registros de los servicios,
fleet,model,"ir.model.fields,field_description",fleet.field_fleet_vehicle__manager_id,Fleet Manager,Gerente de flota,
fleet,model,"ir.model.fields,field_description",fleet.field_fleet_vehicle__message_attachment_count,Attachment Count,Número de archivos adjuntos,
fleet,model,"ir.model.fields,field_description",fleet.field_fleet_vehicle__message_follower_ids,Followers,Seguidores,
fleet,model,"ir.model.fields,field_description",fleet.field_fleet_vehicle__message_has_error,Message Delivery error,Error de envío de mensaje,
fleet,model,"ir.model.fields,help",fleet.field_fleet_vehicle__message_has_error,"If checked, some messages have a delivery error.","Si se encuentra seleccionado, algunos mensajes tienen error de envío.",
fleet,model,"ir.model.fields,field_description",fleet.field_fleet_vehicle__message_has_error_counter,Number of errors,Número de errores,
fleet,model,"ir.model.fields,help",fleet.field_fleet_vehicle__message_has_error_counter,Number of messages with delivery error,Número de mensajes con error de envío,
fleet,model,"ir.model.fields,field_description",fleet.field_fleet_vehicle__message_ids,Messages,Mensajes,
fleet,model,"ir.model.fields,field_description",fleet.field_fleet_vehicle__message_is_follower,Is Follower,Es un seguidor,
fleet,model,"ir.model.fields,field_description",fleet.field_fleet_vehicle__message_main_attachment_id,Main Attachment,Archivo adjunto principal,
fleet,model,"ir.model.fields,field_description",fleet.field_fleet_vehicle__message_needaction,Action Needed,Acción requerida,
fleet,model,"ir.model.fields,help",fleet.field_fleet_vehicle__message_needaction,"If checked, new messages require your attention.","Si se encuentra seleccionado, hay nuevos mensajes que requieren su atención.",
fleet,model,"ir.model.fields,field_description",fleet.field_fleet_vehicle__message_needaction_counter,Number of Actions,Número de acciones,
fleet,model,"ir.model.fields,help",fleet.field_fleet_vehicle__message_needaction_counter,Number of messages which requires an action,Número de mensajes que requieren una acción,
fleet,model,"ir.model.fields,field_description",fleet.field_fleet_vehicle__message_partner_ids,Followers (Partners),Seguidores (partners),
fleet,model,"ir.model.fields,field_description",fleet.field_fleet_vehicle__model_id,Model,Modelo,
fleet,model,"ir.model.fields,field_description",fleet.field_fleet_vehicle__model_year,Model Year,Año del modelo,
fleet,model,"ir.model.fields,help",fleet.field_fleet_vehicle__model_year,Year of the model,Año del modelo,
fleet,model,"ir.model.fields,field_description",fleet.field_fleet_vehicle__my_activity_date_deadline,My Activity Deadline,Fecha límite de mi actividad,
fleet,model,"ir.model.fields,field_description",fleet.field_fleet_vehicle__name,Name,Nombre,
fleet,model,"ir.model.fields,field_description",fleet.field_fleet_vehicle__net_car_value,Purchase Value,Valor de compra,
fleet,model,"ir.model.fields,field_description",fleet.field_fleet_vehicle__next_assignation_date,Assignment Date,Fecha de asignación,
fleet,model,"ir.model.fields,help",fleet.field_fleet_vehicle__next_assignation_date,"This is the date at which the car will be available, if not set it means available instantly","Esta es la fecha en la que el automóvil estará disponible, si no se configura significa que está disponible al instante",
fleet,model,"ir.model.fields,field_description",fleet.field_fleet_vehicle__odometer,Last Odometer,Último odómetro,
fleet,model,"ir.model.fields,help",fleet.field_fleet_vehicle__odometer,Odometer measure of the vehicle at the moment of this log,Medida del odómetro del vehículo al momento del registro,
fleet,model,"ir.model.fields,field_description",fleet.field_fleet_vehicle__odometer_count,Odometer,Odómetro,
fleet,model,"ir.model.fields,field_description",fleet.field_fleet_vehicle__odometer_unit,Odometer Unit,Unidad del odómetro,
fleet,model,"ir.model.fields,field_description",fleet.field_fleet_vehicle__plan_to_change_bike,Plan To Change Bike,Plan para cambiar de bicicleta,
fleet,model,"ir.model.fields,field_description",fleet.field_fleet_vehicle__plan_to_change_car,Plan To Change Car,Plan para cambiar de automóvil,
fleet,model,"ir.model.fields,field_description",fleet.field_fleet_vehicle__power,Power,Potencia,
fleet,model,"ir.model.fields,help",fleet.field_fleet_vehicle__power,Power in kW of the vehicle,Potencia del vehículo en kW,
fleet,model,"ir.model.fields,field_description",fleet.field_fleet_vehicle__residual_value,Residual Value,Valor residual,
fleet,model,"ir.model.fields,field_description",fleet.field_fleet_vehicle__seats,Seats Number,Número de asientos,
fleet,model,"ir.model.fields,help",fleet.field_fleet_vehicle__seats,Number of seats of the vehicle,Número de asientos del vehículo,
fleet,model,"ir.model.fields,field_description",fleet.field_fleet_vehicle__service_activity,Service Activity,Actividad de servicio,
fleet,model,"ir.model.fields,field_description",fleet.field_fleet_vehicle__service_count,Services,Servicios,
fleet,model,"ir.model.fields,field_description",fleet.field_fleet_vehicle__state_id,State,Estado,
fleet,model,"ir.model.fields,help",fleet.field_fleet_vehicle__state_id,Current state of the vehicle,Estado actual del vehículo,
fleet,model,"ir.model.fields,field_description",fleet.field_fleet_vehicle__tag_ids,Tags,Etiquetas,
fleet,model,"ir.model.fields,field_description",fleet.field_fleet_vehicle__trailer_hook,Trailer Hitch,Enganche de remolque,
fleet,model,"ir.model.fields,field_description",fleet.field_fleet_vehicle__transmission,Transmission,Transmisión,
fleet,model,"ir.model.fields,field_description",fleet.field_fleet_vehicle__vehicle_type,Vehicle Type,Tipo de vehículo,
fleet,model,"ir.model.fields,field_description",fleet.field_fleet_vehicle__vin_sn,Chassis Number,Número de chasis,
fleet,model,"ir.model.fields,help",fleet.field_fleet_vehicle__vin_sn,Unique number written on the vehicle motor (VIN/SN number),Número único escrito en el motor del vehículo (número de identificación del vehículo o número de serie),
fleet,model,"ir.model.fields,field_description",fleet.field_fleet_vehicle__write_date,Last Updated on,Última actualización el,
fleet,model,"ir.model.fields,field_description",fleet.field_fleet_vehicle__write_off_date,Cancellation Date,Fecha de cancelación,
fleet,model,"ir.model.fields,help",fleet.field_fleet_vehicle__write_off_date,Date when the vehicle's license plate has been cancelled/removed.,Fecha en la que se canceló o removió la placa del vehículo.,
fleet,model,"ir.model.fields,field_description",fleet.field_fleet_vehicle__write_uid,Last Updated by,Última actualización por,
fleet,model,"ir.model.fields,field_description",fleet.field_fleet_vehicle_assignation_log____last_update,Last Modified on,Última modificación el,
fleet,model,"ir.model.fields,field_description",fleet.field_fleet_vehicle_assignation_log__create_date,Created on,Creado el,
fleet,model,"ir.model.fields,field_description",fleet.field_fleet_vehicle_assignation_log__create_uid,Created by,Creado por,
fleet,model,"ir.model.fields,field_description",fleet.field_fleet_vehicle_assignation_log__date_end,End Date,Fecha de finalización,
fleet,model,"ir.model.fields,field_description",fleet.field_fleet_vehicle_assignation_log__date_start,Start Date,Fecha de inicio,
fleet,model,"ir.model.fields,field_description",fleet.field_fleet_vehicle_assignation_log__display_name,Display Name,Nombre en pantalla,
fleet,model,"ir.model.fields,field_description",fleet.field_fleet_vehicle_assignation_log__driver_id,Driver,Conductor,
fleet,model,"ir.model.fields,field_description",fleet.field_fleet_vehicle_assignation_log__id,ID,,
fleet,model,"ir.model.fields,field_description",fleet.field_fleet_vehicle_assignation_log__vehicle_id,Vehicle,Vehículo,
fleet,model,"ir.model.fields,field_description",fleet.field_fleet_vehicle_assignation_log__write_date,Last Updated on,Última actualización el,
fleet,model,"ir.model.fields,field_description",fleet.field_fleet_vehicle_assignation_log__write_uid,Last Updated by,Última actualización por,
fleet,model,"ir.model.fields,field_description",fleet.field_fleet_vehicle_cost_report____last_update,Last Modified on,Última modificación el,
fleet,model,"ir.model.fields,field_description",fleet.field_fleet_vehicle_cost_report__company_id,Company,Empresa,
fleet,model,"ir.model.fields,field_description",fleet.field_fleet_vehicle_cost_report__cost,Cost,Costo,
fleet,model,"ir.model.fields,field_description",fleet.field_fleet_vehicle_cost_report__cost_type,Cost Type,Tipo de costo,
fleet,model,"ir.model.fields,field_description",fleet.field_fleet_vehicle_cost_report__date_start,Date,Fecha,
fleet,model,"ir.model.fields,field_description",fleet.field_fleet_vehicle_cost_report__display_name,Display Name,Nombre en pantalla,
fleet,model,"ir.model.fields,field_description",fleet.field_fleet_vehicle_cost_report__driver_id,Driver,Conductor,
fleet,model,"ir.model.fields,field_description",fleet.field_fleet_vehicle_cost_report__fuel_type,Fuel,Combustible,
fleet,model,"ir.model.fields,field_description",fleet.field_fleet_vehicle_cost_report__id,ID,,
fleet,model,"ir.model.fields,field_description",fleet.field_fleet_vehicle_cost_report__name,Vehicle Name,Nombre del vehículo,
fleet,model,"ir.model.fields,field_description",fleet.field_fleet_vehicle_cost_report__vehicle_id,Vehicle,Vehículo,
